Nom de la commune,Population totale,Latitude,Longitude
Acigné,7 051,48.1334474,-1.5341182
Amanlis,1 806,48.0061864,-1.4764193
Andouillé-Neuville,1 003,48.2934964,-1.5913043
Arbrissel,290,47.9271875,-1.3038405
Argentré-du-Plessis,4 678,48.0574022,-1.1525093
Aubigné,486,48.2941715,-1.6345141
Availles-sur-Seiche,682,47.9613720,-1.1957981
Baguer-Morvan,1 724,48.5249479,-1.7737509
Baguer-Pican,1 800,48.5530771,-1.6992081
Bain-de-Bretagne,7 730,47.8414377,-1.6852229
Bains-sur-Oust,3 667,47.7043242,-2.0720346
Bais,2 516,48.0102935,-1.2905825
Balazé,2 249,48.1674793,-1.1893191
Baulon,2 254,47.9854372,-1.9315829
La Baussaine,687,48.3129244,-1.8974199
La Bazouge-du-Désert,1 087,48.4438604,-1.1050784
Bazouges-la-Pérouse,1 893,48.4263498,-1.5744163
Beaucé,1 366,48.3390316,-1.1555522
Bécherel,706,48.2949905,-1.9440559
Bédée,4 584,48.1799946,-1.9448081
Betton,12 959,48.1817122,-1.6414898
Billé,1 083,48.2874903,-1.2462281
Bléruais,106,48.1109220,-2.1263482
Boisgervilly,1 790,48.1670889,-2.0651766
Boistrudan,733,47.9697818,-1.4013536
Bonnemain,1 552,48.4673615,-1.7654466
La Bosse-de-Bretagne,710,47.8699764,-1.5980251
La Bouëxière,4 664,48.1838953,-1.4375820
Bourg-des-Comptes,3 419,47.9298273,-1.7388742
Bourgbarré,4 646,47.9958761,-1.6162609
La Boussac,1 250,48.5131740,-1.6605339
Bovel,603,47.9503800,-1.9770890
Bréal-sous-Montfort,6 569,48.0513567,-1.8676860
Bréal-sous-Vitré,641,48.1044330,-1.0602280
Brécé,2 191,48.1102058,-1.4817649
Breteil,3 749,48.1459113,-1.8996064
Brie,1 029,47.9510829,-1.5375662
Brielles,695,48.0083592,-1.0891656
Broualan,406,48.4741568,-1.6502827
Bruc-sur-Aff,876,47.8148914,-2.0193402
Les Brulais,544,47.8888664,-2.0425928
Bruz,20 118,48.0245814,-1.7471629
Cancale,5 529,48.6771721,-1.8506953
Cardroc,616,48.2855421,-1.8886507
Cesson-Sévigné,18 212,48.1197799,-1.6038829
Champeaux,518,48.1476090,-1.3115291
Chanteloup,1 897,47.9658550,-1.6153163
Chantepie,10 391,48.0881550,-1.6171482
La Chapelle-aux-Filtzméens,844,48.3838349,-1.8246691
La Chapelle-Bouëxic,1 545,47.9286216,-1.9402261
La Chapelle-Chaussée,1 323,48.2707381,-1.8532806
La Chapelle-de-Brain,1 078,47.6997445,-1.9344425
La Chapelle-des-Fougeretz,4 696,48.1780660,-1.7341163
La Chapelle du Lou du Lac,1 044,48.2128193,-1.9982217
La Chapelle-Erbrée,742,48.1408228,-1.1005990
La Chapelle-Janson,1 523,48.3475174,-1.1011605
La Chapelle-Saint-Aubert,463,48.3129927,-1.3076440
La Chapelle-Thouarault,2 294,48.1247951,-1.8645101
Chartres-de-Bretagne,8 377,48.0432406,-1.7082369
Chasné-sur-Illet,1 677,48.2425777,-1.5626114
Châteaubourg,7 668,48.1108554,-1.3982411
Châteaugiron,10 780,48.0423764,-1.5009120
Châteauneuf-d'Ille-et-Vilaine,1 715,48.5619684,-1.9286313
Le Châtellier,440,48.4158632,-1.2537728
Châtillon-en-Vendelais,1 736,48.2254240,-1.1793931
Chauvigné,835,48.3768976,-1.4597790
Chavagne,4 476,48.0539088,-1.7881749
Chelun,355,47.8538848,-1.2234963
Cherrueix,1 117,48.6060853,-1.7110157
Chevaigné,2 414,48.2120161,-1.6303916
Cintré,2 600,48.1058654,-1.8712888
Clayes,969,48.1781142,-1.8543417
Coësmes,1 478,47.8830309,-1.4410994
Comblessac,693,47.8765171,-2.0841863
Combourg,6 326,48.4104391,-1.7500622
Combourtillé,622,48.2721354,-1.2466018
Cornillé,996,48.0803140,-1.3082492
Corps-Nuds,3 621,47.9775099,-1.5874103
La Couyère,457,47.8877284,-1.5058141
Crevin,2 867,47.9374005,-1.6629333
Le Crouais,600,48.2072762,-2.1401299
Cuguen,842,48.4502079,-1.6661021
Dinard,10 753,48.6320379,-2.0580178
Dingé,1 704,48.3571687,-1.7155792
Dol-de-Bretagne,6 114,48.5498295,-1.7542570
Domagné,2 485,48.0706593,-1.3918429
Domalain,2 067,47.9962470,-1.2414842
La Dominelais,1 432,47.7627462,-1.6873923
Domloup,3 863,48.0626279,-1.5236949
Dourdain,1 246,48.1928158,-1.3696313
Drouges,514,47.9013296,-1.2663580
Eancé,436,47.8221950,-1.2443964
Epiniac,1 443,48.5100394,-1.6972808
Erbrée,1 764,48.0982700,-1.1249516
Ercé-en-Lamée,1 572,47.8303640,-1.5611201
Ercé-près-Liffré,2 024,48.2561002,-1.5144680
Essé,1 056,47.9574503,-1.4242263
Étrelles,2 709,48.0601694,-1.1938644
Feins,1 077,48.3290212,-1.6415472
Le Ferré,731,48.4915544,-1.2921567
Fleurigné,944,48.3358786,-1.1211449
Forges-la-Forêt,265,47.8619159,-1.2793479
Fougères,21 247,48.3503362,-1.1958526
La Fresnais,2 577,48.5952811,-1.8437735
Gaël,1 641,48.1321352,-2.2228673
Gahard,1 559,48.2974956,-1.5183894
Gennes-sur-Seiche,960,47.9885433,-1.1235595
Gévezé,6 000,48.2204891,-1.7896366
Gosné,2 085,48.2459917,-1.4626276
La Gouesnière,2 012,48.6048797,-1.8925099
Goven,4 394,48.0054828,-1.8476016
Grand-Fougeray,2 502,47.7234217,-1.7323074
La Guerche-de-Bretagne,4 461,47.9426332,-1.2314540
Guichen,9 160,47.9659271,-1.7970987
Guignen,4 172,47.9205654,-1.8613166
Guipel,1 759,48.2982871,-1.7201512
Guipry-Messac,7 340,47.8257106,-1.8172916
Hédé-Bazouges,2 323,48.2958022,-1.8022682
L' Hermitage,4 767,48.1243000,-1.8183000
Hirel,1 415,48.6061560,-1.8019488
Iffendic,4 686,48.1290768,-2.0336601
Les Iffs,284,48.2880565,-1.8667945
Irodouër,2 318,48.2493529,-1.9492734
Janzé,8 744,47.9556915,-1.4953660
